location,abbreviation,epiyear,epiweek,weighted_ili_now
54,WV,2011,7,4.91444
55,WI,2011,7,4.06966
56,WY,2011,7,3.06733
HHS01,HHS01,2011,7,2.26406
HHS02,HHS02,2011,7,2.80723
HHS03,HHS03,2011,7,4.02451
HHS04,HHS04,2011,7,4.30763
HHS05,HHS05,2011,7,3.11002
HHS06,HHS06,2011,7,7.75545
HHS07,HHS07,2011,7,3.52641
HHS08,HHS08,2011,7,2.48682
HHS09,HHS09,2011,7,3.8136
HHS10,HHS10,2011,7,2.92515
US,US,2011,7,4.03719
01,AL,2011,8,10.0883
02,AK,2011,8,3.30051
04,AZ,2011,8,2.44602
05,AR,2011,8,5.7076
06,CA,2011,8,5.0204
08,CO,2011,8,2.6689
09,CT,2011,8,1.89362
10,DE,2011,8,1.95092
11,DC,2011,8,3.63875
12,FL,2011,8,3.02393
13,GA,2011,8,4.12847
15,HI,2011,8,6.17522
16,ID,2011,8,6.15237
17,IL,2011,8,3.59683
18,IN,2011,8,5.1717
19,IA,2011,8,1.82608
20,KS,2011,8,2.94343
21,KY,2011,8,1.89881
22,LA,2011,8,5.90085
23,ME,2011,8,2.08859
24,MD,2011,8,3.03786
25,MA,2011,8,2.68371
26,MI,2011,8,2.21127
27,MN,2011,8,3.12025
28,MS,2011,8,6.77105
29,MO,2011,8,5.73346
30,MT,2011,8,0.873298
31,NE,2011,8,5.63905
32,NV,2011,8,4.11137
33,NH,2011,8,0.63076
34,NJ,2011,8,5.83454
35,NM,2011,8,6.52891
36,NY,2011,8,2.96172
37,NC,2011,8,2.5813
38,ND,2011,8,2.44645
39,OH,2011,8,1.94423
40,OK,2011,8,5.08595
41,OR,2011,8,2.79079
42,PA,2011,8,3.56314
44,RI,2011,8,2.7875
45,SC,2011,8,3.60695
46,SD,2011,8,4.31641
47,TN,2011,8,4.6215
48,TX,2011,8,7.19646
49,UT,2011,8,2.47409
50,VT,2011,8,3.21349
51,VA,2011,8,4.68447
53,WA,2011,8,3.88036
54,WV,2011,8,5.46838
55,WI,2011,8,2.85707
56,WY,2011,8,2.3399
HHS01,HHS01,2011,8,2.27865
HHS02,HHS02,2011,8,3.84726
HHS03,HHS03,2011,8,3.83205
HHS04,HHS04,2011,8,3.9961
HHS05,HHS05,2011,8,3.02762
HHS06,HHS06,2011,8,6.68815
HHS07,HHS07,2011,8,4.2797
HHS08,HHS08,2011,8,2.55046
HHS09,HHS09,2011,8,4.6438
HHS10,HHS10,2011,8,3.79702
US,US,2011,8,4.10833
01,AL,2011,9,7.98559
02,AK,2011,9,1.97705
04,AZ,2011,9,2.13143
05,AR,2011,9,4.74988
06,CA,2011,9,4.79324
08,CO,2011,9,2.14261
09,CT,2011,9,2.11971
10,DE,2011,9,1.70353
11,DC,2011,9,2.20972
12,FL,2011,9,2.21928
13,GA,2011,9,3.78738
15,HI,2011,9,4.84964
16,ID,2011,9,5.54761
17,IL,2011,9,3.34746
18,IN,2011,9,4.44213
19,IA,2011,9,1.96314
20,KS,2011,9,3.15202
21,KY,2011,9,2.1029
22,LA,2011,9,3.80085
23,ME,2011,9,1.54755
24,MD,2011,9,2.19757
25,MA,2011,9,2.04574
26,MI,2011,9,2.36342
